ids,score
289439,0.0586
222137,0.2421
69547,0.0593
87667,0.3529
121101,0.3794
276317,0.2291
2085,0.015
287752,0.0903
179396,0.0769
147846,0.5988
196497,0.2691
115757,0.3373
189910,0.1063
139298,0.1368
47929,0.3753
268423,0.1068
81549,0.1908
255965,0.0739
79050,0.2037
48064,0.2858
264650,0.0288
240771,0.1414
140192,0.1289
11999,0.4708
4132,0.4746
20176,0.2992
161246,0.1405
150635,0.5387
21956,0.0
39242,0.3558
238501,0.2226
29439,0.6383
286871,0.2291
4051,0.3203
76997,0.4616
254438,0.0159
261780,0.0355
230742,0.1182
260059,0.1563
96939,0.1786
93048,0.2034
47773,0.3906
145837,0.2267
89855,0.4838
20239,0.461
109813,0.0706
133867,0.1806
288942,0.0159
299568,0.0198
80356,0.2041
95989,0.4727
302750,0.3438
268736,0.1204
104938,0.4408
162568,0.0344
60429,0.0274
93988,0.4986
44533,0.164
298685,0.0037
81616,0.2676
60297,0.0999
56178,0.5541
88337,0.2703
230280,0.0802
132878,0.1974
90977,0.4493
117736,0.41
145051,0.2796
134906,0.2625
293134,0.0837
248941,0.3479
76898,0.4312
212980,0.0
44844,0.7401
149219,0.2001
289776,0.0354
251594,0.1114
194165,0.0006
264682,0.4404
134530,0.2964
3292,0.0367
65525,0.3252
61240,0.3767
983,0.1692
40605,0.5623
116905,0.5757
183653,0.1435
160833,0.515
155936,0.765
86421,0.1215
39638,0.206
26894,0.6669
161876,0.2426
115335,0.2749
96813,0.2259
111573,0.0824
269036,0.0046
223581,0.015
225218,0.002
43925,0.3354
234599,0.2009
159443,0.6309
93070,0.1777
208360,0.0237
242098,0.0569
106534,0.0637
239116,0.2771
227843,0.0145
259473,0.3073
111376,0.2701
276618,0.2595
44425,0.443
137813,0.3516
145598,0.1617
210644,0.0393
259148,0.0443
137737,0.3105
100009,0.3559
22008,0.5495
168897,0.6854
172477,0.7358
43000,0.7167
128372,0.3582
21895,0.2194
238755,0.0708
17294,0.2219
42684,0.1595
250515,0.0385
107619,0.4514
203493,0.0437
229487,0.2141
240930,0.1026
50376,0.4932
190385,0.0048
109175,0.335
264003,0.1374
55392,0.1158
32448,0.6694
2904,0.396
281369,0.0181
245451,0.1256
90242,0.4431
86493,0.2293
243726,0.0561
44645,0.2019
201368,0.1395
132504,0.3772
123655,0.4493
284327,0.2717
19211,0.6335
155865,0.7158
187006,0.1104
98721,0.3037
193670,0.1098
184195,0.0373
7442,0.3961
257656,0.3523
81416,0.0671
288002,0.0359
247429,0.0661
207138,0.1328
197066,0.1887
251156,0.1611
236133,0.0174
209255,0.1281
100358,0.1565
242326,0.3057
175748,0.0704
236684,0.0735
277850,0.075
296794,0.0976
741,0.168
186706,0.1283
234514,0.0083
117540,0.2468
18143,0.017
97221,0.372
18404,0.2538
258496,0.2151
218996,0.2167
143752,0.4922
50887,0.692
301068,0.2876
171031,0.4395
122460,0.3959
43489,0.5785
258484,0.0268
52910,0.5278
238799,0.2868
119374,0.3612
277182,0.038
161487,0.0333
63822,0.2099
220595,0.0794
38982,0.5954
303087,0.1081
178436,0.0366
50750,0.1953
260541,0.0955
31197,0.5724
39252,0.5716
150497,0.3853
20403,0.6048
26919,0.2444
167863,0.9105
239061,0.0727
280087,0.0386
241064,0.0118
73892,0.5154
262154,0.0545
9072,0.6428
212153,0.0935
103398,0.2986
290968,0.3824
169539,0.7813
286767,0.1563
133201,0.451
277050,0.099
219606,0.0708
156425,0.7474
82239,0.6094
184944,0.0221
192365,0.19
15130,0.3136
68651,0.6072
197465,0.0106
114708,0.1395
265870,0.3945
106858,0.0832
288540,0.01
142913,0.1147
160036,0.0451
19758,0.5969
84367,0.4749
134683,0.2571
23682,0.7949
158375,0.3691
95373,0.2728
108061,0.2158
9752,0.683
148755,0.4995
1742,0.5643
50984,0.3529
191597,0.0004
265920,0.1173
166871,0.0003
98855,0.2176
175543,0.0739
219938,0.1144
239586,0.012
45164,0.2199
91433,0.3779
148683,0.4635
295345,0.0754
88146,0.2965
6977,0.0702
253978,0.1665
108202,0.3719
184763,0.1624
203500,0.4103
266782,0.0215
273864,0.0243
121063,0.5461
300309,0.0839
298500,0.1783
296394,0.1437
264101,0.0736
118187,0.3915
266589,0.0268
154939,0.5437
8246,0.0138
364,0.6031
33298,0.4332
38639,0.1117
23656,0.1008
182098,0.4839
220607,0.017
161621,0.0855
149233,0.2273
9883,0.2241
111279,0.4129
101865,0.3986
275343,0.145
112792,0.5362
85803,0.2007
97598,0.1806
201526,0.1219
303065,0.3031
81258,0.4556
101877,0.3319
45627,0.4878
37556,0.7384
229672,0.0436
244863,0.1414
263071,0.004
103340,0.0637
1993,0.2875
152802,0.4555
125933,0.328
292537,0.0001
143171,0.454
232213,0.0085
210065,0.081
255762,0.0248
78311,0.6095
303576,0.0912
123990,0.4041
161302,0.6883
238347,0.3909
172809,0.6425
145097,0.4197
188908,0.0661
303259,0.0251
281876,0.0254
158493,0.2043
233697,0.1173
245104,0.0722
105628,0.4808
131237,0.3432
130951,0.2647
27603,0.6802
293837,0.0711
157025,0.7016
289243,0.1838
47621,0.5531
5929,0.3259
171006,0.7279
171610,0.8063
129117,0.4143
27361,0.5614
296709,0.0661
166565,0.4232
253476,0.0003
74553,0.5711
177788,0.0903
87827,0.36
243585,0.2087
275594,0.0003
20968,0.7348
106602,0.1092
290655,0.1344
230522,0.0819
99969,0.2902
136043,0.1938
129252,0.379
129543,0.4444
261602,0.1221
90197,0.5853
41009,0.4922
118964,0.4449
112373,0.48
295241,0.107
131167,0.1724
298088,0.0929
105885,0.2162
179777,0.3
259659,0.2536
116954,0.0922
84525,0.4668
51415,0.4382
70741,0.5271
107640,0.1253
289585,0.1655
205276,0.3227
55248,0.3913
20766,0.224
155070,0.7019
88330,0.2192
101216,0.1991
177147,0.0159
31488,0.0648
184135,0.131
204222,0.0773
301889,0.0837
104126,0.145
77876,0.1913
225504,0.111
114685,0.1791
303321,0.0233
173416,0.0035
58407,0.2103
204777,0.0318
111564,0.5282
179873,0.0269
119199,0.1198
54333,0.3295
14546,0.4908
96105,0.287
15903,0.2134
275898,0.0612
292599,0.3396
78552,0.0998
144158,0.5472
52690,0.338
132141,0.5118
214343,0.0638
295997,0.002
258957,0.0165
118452,0.4924
99591,0.1119
22461,0.4265
67951,0.7182
24010,0.6693
233766,0.055
67265,0.618
56226,0.0018
286669,0.1654
271583,0.0002
131819,0.6888
175081,0.0884
62341,0.2982
235716,0.1263
171469,0.7844
130802,0.2318
71541,0.1237
2929,0.4507
92203,0.4455
254164,0.144
198927,0.1272
242274,0.1684
232182,0.0821
57764,0.1072
28212,0.3554
14235,0.3565
111596,0.2486
174943,0.106
244346,0.0837
82857,0.4077
242751,0.1047
244571,0.1939
291168,0.1316
177659,0.0006
168102,0.1399
132681,0.0637
28395,0.4382
190920,0.0538
11867,0.6914
199336,0.3271
61219,0.428
106820,0.4622
167361,0.688
90011,0.4863
295156,0.0625
271596,0.426
129740,0.3353
127155,0.1129
34178,0.0463
151474,0.5271
264528,0.264
186259,0.0326
135901,0.6055
106562,0.3072
198155,0.0346
57530,0.672
50149,0.4278
124149,0.7107
12131,0.818
190326,0.4012
34611,0.0908
106288,0.2671
279853,0.1246
79043,0.3805
113704,0.1464
145650,0.5669
170132,0.5534
179571,0.0205
125840,0.396
84328,0.1663
34216,0.5143
235825,0.0276
157430,0.7967
210230,0.0006
275856,0.1429
139348,0.4558
275116,0.21
102905,0.5967
188533,0.0488
111229,0.2241
79015,0.3862
284741,0.3696
118883,0.5545
114445,0.0873
22245,0.2385
298379,0.0121
245250,0.1639
292899,0.0543
207399,0.0028
149707,0.3307
12950,0.3146
157881,0.0127
260429,0.0791
101864,0.0947
245040,0.1521
6251,0.5561
275725,0.2848
87943,0.5794
168484,0.4273
65340,0.0474
256395,0.1233
268165,0.1658
46335,0.0181
281275,0.1025
126838,0.0747
85077,0.5332
146911,0.3314
273895,0.0037
233097,0.028
261471,0.0014
135926,0.3661
211654,0.0336
116499,0.5783
280126,0.152
184724,0.2848
153990,0.2796
75694,0.2808
51888,0.5819
25255,0.4878
258660,0.1292
9310,0.5466
28829,0.8465
27593,0.3343
231445,0.2544
80000,0.2874
253849,0.1401
94777,0.2588
80806,0.2409
144445,0.3805
263992,0.243
274300,0.0621
60098,0.3805
10256,0.7071
109089,0.6127
72110,0.7375
62891,0.4136
62358,0.4314
217772,0.0146
30524,0.5852
217938,0.0789
63186,0.2391
185163,0.021
118030,0.3913
245277,0.0385
133077,0.5845
277664,0.3607
264226,0.0002
144920,0.395
274061,0.3067
98514,0.5222
233782,0.0991
252768,0.0006
209342,0.0736
131529,0.1416
269852,0.1563
113920,0.41
257612,0.1366
99621,0.5516
36199,0.1253
262914,0.0145
194878,0.1238
185260,0.0217
7137,0.0
227809,0.0068
57973,0.51
134267,0.0855
221684,0.1622
174642,0.0806
9386,0.2219
14413,0.3371
88553,0.2994
48368,0.5705
26911,0.5705
297292,0.2552
75470,0.4062
136609,0.3522
148503,0.5758
177955,0.1299
277570,0.0076
227006,0.1927
191920,0.1008
197958,0.1129
226618,0.004
58192,0.3943
100575,0.5332
254334,0.2156
286414,0.0413
126787,0.4654
218055,0.0198
70010,0.3232
186966,0.0921
298881,0.2713
257529,0.4549
143652,0.3204
147553,0.235
199750,0.1443
273513,0.0674
95158,0.0813
241122,0.1908
80590,0.5147
202947,0.0771
103855,0.3622
287877,0.3352
207916,0.1576
236350,0.0551
144086,0.2721
272911,0.3106
229762,0.0006
269993,0.0576
103979,0.3812
137385,0.3919
261973,0.1653
78791,0.2647
304261,0.141
254908,0.1902
127871,0.0611
194945,0.237
15665,0.2111
133983,0.2735
142563,0.6397
10339,0.2851
257815,0.1099
160367,0.6762
269451,0.0925
72847,0.7232
169802,0.8694
78268,0.4576
50204,0.243
155353,0.5276
109396,0.1908
249526,0.3226
192046,0.1763
262744,0.0392
213793,0.1241
119069,0.3905
211713,0.0638
203682,0.0174
147800,0.3533
9695,0.7757
236445,0.1017
251046,0.0346
274832,0.1513
14954,0.0
247465,0.005
5068,0.0729
37118,0.3754
230833,0.0113
176469,0.0294
31014,0.1783
285055,0.0427
247510,0.1194
119294,0.0
148029,0.5014
285621,0.0068
151620,0.3676
233190,0.0168
6736,0.5421
32418,0.7188
87120,0.5403
237559,0.3047
261684,0.3163
143614,0.2121
155043,0.4624
76976,0.3326
89782,0.6132
154736,0.1051
299766,0.0296
106584,0.1363
301625,0.0121
112529,0.2951
188683,0.2742
75156,0.7092
220357,0.1008
133554,0.2406
279091,0.0338
23247,0.3239
2837,0.5042
172489,0.817
142584,0.2145
109730,0.2864
163488,0.4532
130962,0.273
149711,0.5586
167802,0.396
183204,0.2295
182827,0.2211
9506,0.7204
13748,0.3394
162893,0.5937
10576,0.345
153576,0.2222
352,0.5826
286146,0.2957
80417,0.5893
216123,0.1967
237389,0.1256
157994,0.2688
305550,0.0092
147379,0.2522
166438,0.7337
171002,0.0276
216913,0.0572
265528,0.055
51523,0.3732
199115,0.1655
94423,0.4614
39223,0.5108
14822,0.2556
252570,0.1576
146465,0.2057
15390,0.0948
82347,0.1994
76212,0.3895
170389,0.6988
108707,0.1866
47998,0.5602
256347,0.2797
221154,0.1072
226686,0.0704
221922,0.0837
114967,0.4851
176944,0.2162
227556,0.0993
148792,0.0
87743,0.6149
188441,0.0789
104162,0.4482
282236,0.264
24213,0.8001
197633,0.0037
151563,0.6304
276736,0.2121
191411,0.2491
184594,0.1088
160919,0.6096
259524,0.0305
23046,0.7104
80865,0.3134
34290,0.5822
110141,0.2303
224259,0.1563
170104,0.557
296118,0.1732
1653,0.8439
152690,0.4947
27354,0.0062
27834,0.1457
284395,0.2606
12024,0.3909
47537,0.5107
283830,0.0299
84523,0.3772
153842,0.4095
262789,0.3473
286272,0.023
242129,0.1341
303665,0.1883
30625,0.3942
81786,0.1112
122706,0.5189
26020,0.1929
152094,0.413
220347,0.2088
56533,0.5946
145535,0.6546
85069,0.1703
30555,0.4017
40294,0.395
60739,0.2557
37895,0.3999
219406,0.0995
235092,0.0607
282788,0.1757
148019,0.2127
77263,0.1477
207721,0.0366
177691,0.1025
234225,0.0648
229478,0.1215
209163,0.0754
84088,0.2137
222837,0.002
244824,0.1834
283278,0.0301
94003,0.3974
64212,0.346
156818,0.6885
205678,0.0019
68148,0.5095
53414,0.48
151556,0.0619
274397,0.1058
83021,0.3582
263505,0.0722
140576,0.5389
162772,0.2441
282249,0.1933
179999,0.1269
272958,0.1161
88580,0.6253
206363,0.1358
226667,0.0281
301016,0.0947
161918,0.5891
107091,0.463
241224,0.0043
259640,0.1265
68706,0.0714
71092,0.711
183194,0.2095
81340,0.3323
113621,0.1985
169304,0.6077
158551,0.4241
159564,0.5652
160776,0.3622
225759,0.0995
92859,0.396
106806,0.1381
89789,0.3553
242750,0.0763
63143,0.3742
207439,0.1738
260271,0.1726
13880,0.056
180877,0.0512
11571,0.0736
171216,0.7046
14975,0.3086
260479,0.1408
225248,0.1933
72463,0.0991
25743,0.5261
77701,0.4633
273217,0.3017
224754,0.1051
188604,0.1072
276216,0.083
98288,0.3703
303477,0.0204
147536,0.5077
24629,0.6032
1909,0.1638
231016,0.0896
250608,0.0935
151663,0.2218
259249,0.6183
293900,0.1974
86815,0.032
190580,0.1565
102555,0.3352
43810,0.2694
99779,0.3509
101880,0.328
155225,0.2872
126778,0.4678
22992,0.4366
108214,0.5788
232515,0.3697
276050,0.0786
63935,0.6686
33033,0.5683
67548,0.155
115854,0.336
133311,0.4976
288927,0.143
185472,0.1784
122626,0.2004
161794,0.6708
208053,0.0713
118055,0.224
265474,0.2358
196835,0.1229
194619,0.1764
83727,0.2947
65379,0.5814
203076,0.0003
215636,0.0088
114667,0.3106
33350,0.4607
156085,0.7677
102398,0.131
290849,0.1218
80228,0.6852
171162,0.0303
188270,0.0593
303686,0.0514
289388,0.292
171740,0.8384
195655,0.1499
68021,0.0108
185698,0.1451
120960,0.1946
20609,0.6058
225462,0.0716
90187,0.4059
102462,0.4147
153982,0.2153
219549,0.0037
61717,0.3918
241290,0.0547
303773,0.1827
180053,0.1246
16715,0.2551
239649,0.1596
34651,0.4617
210494,0.1893
298014,0.0936
304866,0.2058
280856,0.1936
186582,0.0598
41359,0.5908
167779,0.8079
305355,0.0233
63901,0.4544
266765,0.1486
12406,0.5389
98951,0.5195
114820,0.4547
241982,0.2621
261580,0.1511
43059,0.6259
176225,0.0895
218235,0.1414
82538,0.0591
176367,0.1366
212344,0.0001
22276,0.4261
284283,0.0004
137684,0.3832
16334,0.2349
40916,0.5696
138075,0.3101
208488,0.174
220616,0.0004
166041,0.7245
220310,0.1837
48885,0.4872
248547,0.204
195308,0.0648
275361,0.2212
19232,0.3428
160193,0.0159
27386,0.5313
121334,0.2192
145495,0.469
135296,0.4167
244101,0.648
112416,0.1666
17090,0.1142
133980,0.43
170949,0.8292
24416,0.7075
181627,0.5567
299419,0.0032
178691,0.0306
57294,0.6914
162709,0.2498
114343,0.1511
184379,0.174
236633,0.0541
229259,0.266
222368,0.2661
116226,0.475
154208,0.8242
217249,0.1847
196289,0.348
109419,0.6865
227221,0.4414
285078,0.0113
163954,0.8278
225080,0.0179
235826,0.3322
41148,0.5965
9787,0.5461
117308,0.4051
248759,0.1173
146310,0.3645
239064,0.4952
157242,0.741
297662,0.0896
196831,0.0148
187079,0.1432
63785,0.34
212945,0.0068
32903,0.4867
187388,0.0631
138775,0.4409
149105,0.4141
115588,0.3979
177639,0.051
113148,0.5794
183920,0.1193
197314,0.0829
88589,0.5614
22266,0.5087
122527,0.4862
135565,0.5727
11725,0.1822
57328,0.15
90583,0.334
30382,0.4708
109673,0.2503
120743,0.1197
52513,0.1218
39636,0.5304
131291,0.0001
81355,0.2486
191922,0.3407
198730,0.1556
142102,0.5827
4346,0.1201
144597,0.0006
222642,0.3259
263378,0.3975
230654,0.0488
38459,0.3884
274915,0.0561
229007,0.1417
107850,0.4048
86346,0.5436
139960,0.3296
221711,0.3872
41383,0.7264
90510,0.3649
256510,0.2651
130594,0.656
136973,0.6101
123306,0.0241
56109,0.5966
70859,0.6543
266523,0.1201
260220,0.2032
79369,0.2748
61126,0.1174
143009,0.2637
160259,0.4192
112504,0.2349
185976,0.0638
259767,0.1201
1721,0.7409
167175,0.7841
301285,0.3096
206591,0.1908
10389,0.2447
202646,0.0388
182243,0.0059
79186,0.3877
231697,0.1
156654,0.6609
275045,0.1745
284431,0.2093
42113,0.6179
41391,0.5926
300838,0.1105
30884,0.6018
22724,0.0003
24953,0.2733
214836,0.1862
248423,0.0745
139882,0.173
304569,0.51
136550,0.1848
238570,0.008
156072,0.6614
266846,0.0358
223043,0.0096
155560,0.5595
147396,0.4105
256700,0.2049
24855,0.0593
66122,0.4346
124835,0.3166
59552,0.2603
229887,0.2118
43344,0.1484
66564,0.5149
266804,0.1808
289999,0.433
243187,0.1651
243993,0.0305
75696,0.568
85088,0.3057
160655,0.4018
94338,0.1916
242786,0.1087
14917,0.4976
255984,0.0152
96098,0.0142
134606,0.2574
55473,0.0018
246855,0.0083
220792,0.0197
117796,0.2578
83815,0.245
50889,0.381
23909,0.8356
188893,0.1158
21539,0.3622
143021,0.1065
44553,0.823
80774,0.1508
89838,0.3787
260830,0.0583
279008,0.0916
145859,0.4832
31084,0.4311
10201,0.1822
35884,0.4786
9714,0.1718
141529,0.0305
73000,0.4196
149468,0.51
142171,0.1736
19831,0.2237
221611,0.0006
291994,0.0998
82767,0.307
303901,0.2321
155980,0.6291
131197,0.1976
46738,0.3998
110461,0.4948
298702,0.0011
60327,0.3452
57022,0.1012
209941,0.0612
210960,0.2528
267494,0.0593
135115,0.2183
79654,0.3048
8547,0.4676
140233,0.5355
200930,0.2934
85547,0.5309
28726,0.4949
220577,0.0342
142559,0.4085
194579,0.0125
280809,0.2349
95391,0.2372
37034,0.4405
10924,0.2562
236158,0.1498
205667,0.4922
91582,0.5769
92364,0.4263
72487,0.363
48085,0.4993
59064,0.647
39510,0.2312
175479,0.0288
162144,0.4971
139440,0.4594
126178,0.5197
174853,0.0347
251522,0.0067
168795,0.2426
43071,0.6091
168833,0.6982
36569,0.7157
157388,0.7378
209033,0.0038
2132,0.3026
175616,0.2192
221820,0.1363
290604,0.0604
138267,0.339
261533,0.0829
27775,0.501
140316,0.4186
256501,0.0028
167421,0.6838
158884,0.503
160585,0.347
125439,0.2318
159126,0.4748
273199,0.3576
150541,0.5908
85658,0.2848
21691,0.4577
150357,0.5195
44907,0.002
166137,0.7112
239964,0.0586
82339,0.3167
182058,0.1466
138245,0.2989
172410,0.8852
238827,0.2802
278548,0.0658
130710,0.1939
194174,0.1204
8641,0.0023
239491,0.0648
58527,0.3684
276107,0.0393
155828,0.7854
122179,0.2406
1247,0.4839
275686,0.0595
191489,0.021
102466,0.3688
270485,0.1021
160695,0.4734
285196,0.0778
274370,0.1763
267809,0.0169
6050,0.7861
111669,0.4143
43336,0.1289
144927,0.4983
136573,0.5021
304000,0.0426
269887,0.0488
112908,0.2823
139475,0.2007
186376,0.0
242489,0.1054
142791,0.1321
113762,0.4538
51280,0.4525
122270,0.1574
59681,0.3423
87069,0.2961
228705,0.2527
290525,0.0006
215230,0.1047
150755,0.4479
304903,0.1341
145063,0.4051
295328,0.008
59246,0.5354
298665,0.0787
4813,0.1201
114146,0.2994
582,0.0002
174312,0.001
165655,0.781
52615,0.6066
738,0.5988
161365,0.7411
275620,0.0726
188858,0.2736
248268,0.0023
78169,0.4668
134921,0.1013
223220,0.535
92038,0.4422
70790,0.5825
34700,0.1423
83388,0.3797
109142,0.3086
207853,0.1937
75970,0.7638
90631,0.4741
171379,0.2024
152771,0.2341
291845,0.0135
180962,0.2502
248856,0.0895
282720,0.0014
151120,0.3007
3582,0.456
112437,0.4425
75753,0.4271
88252,0.345
294209,0.0018
113203,0.3204
289530,0.0583
148672,0.0106
43692,0.3067
135704,0.4975
192009,0.1198
332,0.1429
260675,0.2832
25715,0.433
11069,0.6692
173763,0.1704
13236,0.8224
213232,0.1204
59146,0.5966
159080,0.3361
234577,0.1486
206674,0.1016
228109,0.224
182111,0.1476
143086,0.4895
251863,0.1837
249626,0.0085
22107,0.3908
201623,0.106
73378,0.0093
183666,0.0496
124978,0.3839
66801,0.4455
266189,0.0959
136885,0.2941
163100,0.4653
1149,0.0074
183460,0.0092
87091,0.4895
50244,0.3504
298735,0.0511
67582,0.0003
132590,0.0239
251188,0.0787
303685,0.2893
293490,0.1843
200986,0.0217
284094,0.0121
44147,0.2421
210282,0.0125
18198,0.5457
22618,0.429
212921,0.0153
269650,0.0848
224082,0.3672
184600,0.0081
305167,0.2628
31035,0.3703
194819,0.0071
265133,0.0425
143307,0.4112
258125,0.1972
61607,0.5278
92023,0.1157
295828,0.1147
96806,0.3822
152225,0.2358
146738,0.3188
197979,0.1304
275233,0.0062
115405,0.4333
134916,0.3936
71873,0.0593
258387,0.0288
137369,0.3685
47263,0.5667
68302,0.2403
